a_terminations,b_terminations,color,comments,created,custom_fields,description,display,display_url,id,label,last_updated,length,length_unit,owner,profile,status,tags,tenant,type,url
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#1"", ""id"": 1, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/1/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}, ""display"": ""GigabitEthernet0/1/2"", ""id"": 3, ""name"": ""GigabitEthernet0/1/2"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/3/""}, ""object_id"": 3, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#1"", ""id"": 1, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/1/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""GigabitEthernet1/0/36"", ""id"": 170, ""name"": ""GigabitEthernet1/0/36"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/170/""}, ""object_id"": 170, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:17.401873Z,{},,#1,http://192.168.65.40:8000/dcim/cables/1/,1,,2026-03-01T05:02:17.488167Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/1/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#2"", ""id"": 2, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/2/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}, ""display"": ""GigabitEthernet0/1/3"", ""id"": 4, ""name"": ""GigabitEthernet0/1/3"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/4/""}, ""object_id"": 4, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#2"", ""id"": 2, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/2/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""GigabitEthernet1/0/37"", ""id"": 171, ""name"": ""GigabitEthernet1/0/37"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/171/""}, ""object_id"": 171, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:17.682916Z,{},,#2,http://192.168.65.40:8000/dcim/cables/2/,2,,2026-03-01T05:02:17.778270Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/2/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#3"", ""id"": 3, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/3/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/6"", ""id"": 16, ""name"": ""GigabitEthernet1/0/6"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/16/""}, ""object_id"": 16, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#3"", ""id"": 3, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/3/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-buffalo-sw01"", ""id"": 12, ""name"": ""dmi01-buffalo-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/12/""}, ""display"": ""GigabitEthernet1/0/25"", ""id"": 221, ""name"": ""GigabitEthernet1/0/25"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/221/""}, ""object_id"": 221, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:17.903210Z,{},,#3,http://192.168.65.40:8000/dcim/cables/3/,3,,2026-03-01T05:02:17.982167Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/3/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#4"", ""id"": 4, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/4/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/7"", ""id"": 17, ""name"": ""GigabitEthernet1/0/7"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/17/""}, ""object_id"": 17, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#4"", ""id"": 4, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/4/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-buffalo-sw01"", ""id"": 12, ""name"": ""dmi01-buffalo-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/12/""}, ""display"": ""GigabitEthernet1/0/26"", ""id"": 222, ""name"": ""GigabitEthernet1/0/26"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/222/""}, ""object_id"": 222, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:18.127322Z,{},,#4,http://192.168.65.40:8000/dcim/cables/4/,4,,2026-03-01T05:02:18.216136Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/4/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#5"", ""id"": 5, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/5/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/19"", ""id"": 29, ""name"": ""GigabitEthernet1/0/19"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/29/""}, ""object_id"": 29, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#5"", ""id"": 5, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/5/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-camden-sw01"", ""id"": 15, ""name"": ""dmi01-camden-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/15/""}, ""display"": ""GigabitEthernet1/0/14"", ""id"": 272, ""name"": ""GigabitEthernet1/0/14"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/272/""}, ""object_id"": 272, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:18.372723Z,{},,#5,http://192.168.65.40:8000/dcim/cables/5/,5,,2026-03-01T05:02:18.450717Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/5/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#6"", ""id"": 6, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/6/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/20"", ""id"": 30, ""name"": ""GigabitEthernet1/0/20"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/30/""}, ""object_id"": 30, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#6"", ""id"": 6, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/6/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-camden-sw01"", ""id"": 15, ""name"": ""dmi01-camden-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/15/""}, ""display"": ""GigabitEthernet1/0/15"", ""id"": 273, ""name"": ""GigabitEthernet1/0/15"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/273/""}, ""object_id"": 273, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:18.703580Z,{},,#6,http://192.168.65.40:8000/dcim/cables/6/,6,,2026-03-01T05:02:18.784950Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/6/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#7"", ""id"": 7, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/7/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/32"", ""id"": 42, ""name"": ""GigabitEthernet1/0/32"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/42/""}, ""object_id"": 42, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#7"", ""id"": 7, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/7/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-nashua-sw01"", ""id"": 18, ""name"": ""dmi01-nashua-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/18/""}, ""display"": ""GigabitEthernet1/0/3"", ""id"": 323, ""name"": ""GigabitEthernet1/0/3"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/323/""}, ""object_id"": 323, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:19.003578Z,{},,#7,http://192.168.65.40:8000/dcim/cables/7/,7,,2026-03-01T05:02:19.081553Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/7/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#8"", ""id"": 8, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/8/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/33"", ""id"": 43, ""name"": ""GigabitEthernet1/0/33"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/43/""}, ""object_id"": 43, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#8"", ""id"": 8, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/8/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-nashua-sw01"", ""id"": 18, ""name"": ""dmi01-nashua-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/18/""}, ""display"": ""GigabitEthernet1/0/4"", ""id"": 324, ""name"": ""GigabitEthernet1/0/4"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/324/""}, ""object_id"": 324, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:19.305904Z,{},,#8,http://192.168.65.40:8000/dcim/cables/8/,8,,2026-03-01T05:02:19.382377Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/8/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#9"", ""id"": 9, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/9/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/45"", ""id"": 55, ""name"": ""GigabitEthernet1/0/45"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/55/""}, ""object_id"": 55, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#9"", ""id"": 9, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/9/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-pittsfield-rtr01"", ""id"": 20, ""name"": ""dmi01-pittsfield-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/20/""}, ""display"": ""GigabitEthernet0/0/1"", ""id"": 374, ""name"": ""GigabitEthernet0/0/1"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/374/""}, ""object_id"": 374, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:19.509780Z,{},,#9,http://192.168.65.40:8000/dcim/cables/9/,9,,2026-03-01T05:02:19.585946Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/9/
"[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#10"", ""id"": 10, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/10/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/46"", ""id"": 56, ""name"": ""GigabitEthernet1/0/46"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/56/""}, ""object_id"": 56, ""object_type"": ""dcim.interface""}]","[{""object"": {""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#10"", ""id"": 10, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/10/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-pittsfield-rtr01"", ""id"": 20, ""name"": ""dmi01-pittsfield-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/20/""}, ""display"": ""GigabitEthernet0/1/2"", ""id"": 375, ""name"": ""GigabitEthernet0/1/2"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/375/""}, ""object_id"": 375, ""object_type"": ""dcim.interface""}]",ff5722,,2026-03-01T05:02:19.724509Z,{},,#10,http://192.168.65.40:8000/dcim/cables/10/,10,,2026-03-01T05:02:19.816965Z,,,,,"{""label"": ""Connected"", ""value"": ""connected""}",[],,cat5e,http://192.168.65.40:8000/api/dcim/cables/10/
