_occupied,cable,cable_end,connected_endpoints,connected_endpoints_reachable,connected_endpoints_type,created,custom_fields,description,device,display,display_url,id,label,last_updated,link_peers,link_peers_type,mark_connected,module,name,owner,speed,tags,type,url
False,,,,,,2026-03-01T05:01:57.123139Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/1/,1,,2026-03-01T05:01:57.123158Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/1/
False,,,,,,2026-03-01T05:01:57.203934Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",usb,http://192.168.65.40:8000/dcim/console-ports/2/,2,,2026-03-01T05:01:57.203954Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/2/
False,,,,,,2026-03-01T05:01:57.258425Z,{},,"{""description"": """", ""display"": ""dmi01-albany-rtr01"", ""id"": 5, ""name"": ""dmi01-albany-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/5/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/3/,3,,2026-03-01T05:01:57.258446Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/3/
False,,,,,,2026-03-01T05:01:57.313540Z,{},,"{""description"": """", ""display"": ""dmi01-albany-rtr01"", ""id"": 5, ""name"": ""dmi01-albany-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/5/""}",usb,http://192.168.65.40:8000/dcim/console-ports/4/,4,,2026-03-01T05:01:57.313561Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/4/
False,,,,,,2026-03-01T05:01:57.365164Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-rtr01"", ""id"": 8, ""name"": ""dmi01-binghamton-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/8/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/5/,5,,2026-03-01T05:01:57.365183Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/5/
False,,,,,,2026-03-01T05:01:57.423668Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-rtr01"", ""id"": 8, ""name"": ""dmi01-binghamton-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/8/""}",usb,http://192.168.65.40:8000/dcim/console-ports/6/,6,,2026-03-01T05:01:57.423688Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/6/
False,,,,,,2026-03-01T05:01:57.473863Z,{},,"{""description"": """", ""display"": ""dmi01-buffalo-rtr01"", ""id"": 11, ""name"": ""dmi01-buffalo-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/11/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/7/,7,,2026-03-01T05:01:57.473882Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/7/
False,,,,,,2026-03-01T05:01:57.558390Z,{},,"{""description"": """", ""display"": ""dmi01-buffalo-rtr01"", ""id"": 11, ""name"": ""dmi01-buffalo-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/11/""}",usb,http://192.168.65.40:8000/dcim/console-ports/8/,8,,2026-03-01T05:01:57.558451Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/8/
False,,,,,,2026-03-01T05:01:57.619870Z,{},,"{""description"": """", ""display"": ""dmi01-camden-rtr01"", ""id"": 14, ""name"": ""dmi01-camden-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/14/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/9/,9,,2026-03-01T05:01:57.619890Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/9/
False,,,,,,2026-03-01T05:01:57.677745Z,{},,"{""description"": """", ""display"": ""dmi01-camden-rtr01"", ""id"": 14, ""name"": ""dmi01-camden-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/14/""}",usb,http://192.168.65.40:8000/dcim/console-ports/10/,10,,2026-03-01T05:01:57.677762Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/10/
False,,,,,,2026-03-01T05:01:57.730011Z,{},,"{""description"": """", ""display"": ""dmi01-nashua-rtr01"", ""id"": 17, ""name"": ""dmi01-nashua-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/17/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/11/,11,,2026-03-01T05:01:57.730031Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/11/
False,,,,,,2026-03-01T05:01:57.782070Z,{},,"{""description"": """", ""display"": ""dmi01-nashua-rtr01"", ""id"": 17, ""name"": ""dmi01-nashua-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/17/""}",usb,http://192.168.65.40:8000/dcim/console-ports/12/,12,,2026-03-01T05:01:57.782089Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/12/
False,,,,,,2026-03-01T05:01:57.832570Z,{},,"{""description"": """", ""display"": ""dmi01-pittsfield-rtr01"", ""id"": 20, ""name"": ""dmi01-pittsfield-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/20/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/13/,13,,2026-03-01T05:01:57.832588Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/13/
False,,,,,,2026-03-01T05:01:57.884775Z,{},,"{""description"": """", ""display"": ""dmi01-pittsfield-rtr01"", ""id"": 20, ""name"": ""dmi01-pittsfield-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/20/""}",usb,http://192.168.65.40:8000/dcim/console-ports/14/,14,,2026-03-01T05:01:57.884795Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/14/
False,,,,,,2026-03-01T05:01:57.938776Z,{},,"{""description"": """", ""display"": ""dmi01-rochester-rtr01"", ""id"": 23, ""name"": ""dmi01-rochester-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/23/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/15/,15,,2026-03-01T05:01:57.938796Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/15/
False,,,,,,2026-03-01T05:01:58.008719Z,{},,"{""description"": """", ""display"": ""dmi01-rochester-rtr01"", ""id"": 23, ""name"": ""dmi01-rochester-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/23/""}",usb,http://192.168.65.40:8000/dcim/console-ports/16/,16,,2026-03-01T05:01:58.008739Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/16/
False,,,,,,2026-03-01T05:01:58.080875Z,{},,"{""description"": """", ""display"": ""dmi01-scranton-rtr01"", ""id"": 26, ""name"": ""dmi01-scranton-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/26/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/17/,17,,2026-03-01T05:01:58.080896Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/17/
False,,,,,,2026-03-01T05:01:58.136902Z,{},,"{""description"": """", ""display"": ""dmi01-scranton-rtr01"", ""id"": 26, ""name"": ""dmi01-scranton-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/26/""}",usb,http://192.168.65.40:8000/dcim/console-ports/18/,18,,2026-03-01T05:01:58.136923Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/18/
False,,,,,,2026-03-01T05:01:58.190100Z,{},,"{""description"": """", ""display"": ""dmi01-stamford-rtr01"", ""id"": 29, ""name"": ""dmi01-stamford-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/29/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/19/,19,,2026-03-01T05:01:58.190118Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/19/
False,,,,,,2026-03-01T05:01:58.243956Z,{},,"{""description"": """", ""display"": ""dmi01-stamford-rtr01"", ""id"": 29, ""name"": ""dmi01-stamford-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/29/""}",usb,http://192.168.65.40:8000/dcim/console-ports/20/,20,,2026-03-01T05:01:58.243975Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/20/
