airflow,asset_tag,cluster,comments,config_context,config_template,console_port_count,console_server_port_count,created,custom_fields,description,device_bay_count,device_type,display,display_url,face,front_port_count,id,interface_count,inventory_item_count,last_updated,latitude,local_context_data,location,longitude,module_bay_count,name,oob_ip,owner,parent_device,platform,position,power_outlet_count,power_port_count,primary_ip,primary_ip4,primary_ip6,rack,rear_port_count,role,serial,site,status,tags,tenant,url,vc_position,vc_priority,virtual_chassis
,,,,{},,0,0,2026-03-01T04:57:10.314637Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""AP7901"", ""id"": 1, ""manufacturer"": {""description"": """", ""display"": ""APC"", ""id"": 1, ""name"": ""APC"", ""slug"": ""apc"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/1/""}, ""model"": ""AP7901"", ""slug"": ""ap7901"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/1/""}",dmi01-akron-pdu01,http://192.168.65.40:8000/dcim/devices/1/,"{""label"": ""Front"", ""value"": ""front""}",0,1,0,0,2026-03-01T05:10:41.937101Z,,,,,0,dmi01-akron-pdu01,,,,,1.0,8,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 3, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/3/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""PDU"", ""id"": 5, ""name"": ""PDU"", ""slug"": ""pdu"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/5/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Akron"", ""id"": 3, ""name"": ""DM-Akron"", ""slug"": ""dm-akron"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/3/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/1/,,,
,,,,{},,2,0,2026-03-01T04:57:10.577286Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""ISR 1111-8P"", ""id"": 3, ""manufacturer"": {""description"": """", ""display"": ""Cisco"", ""id"": 4, ""name"": ""Cisco"", ""slug"": ""cisco"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/4/""}, ""model"": ""ISR 1111-8P"", ""slug"": ""isr1111"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/3/""}",dmi01-akron-rtr01,http://192.168.65.40:8000/dcim/devices/2/,"{""label"": ""Front"", ""value"": ""front""}",0,2,14,0,2026-03-01T05:10:42.193988Z,,,,,0,dmi01-akron-rtr01,,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Cisco IOS"", ""id"": 1, ""name"": ""Cisco IOS"", ""slug"": ""cisco-ios"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/1/"", ""virtualmachine_count"": 0}",4.0,0,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 3, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/3/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Router"", ""id"": 1, ""name"": ""Router"", ""slug"": ""router"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/1/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Akron"", ""id"": 3, ""name"": ""DM-Akron"", ""slug"": ""dm-akron"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/3/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/2/,,,
,,,,{},,0,0,2026-03-01T04:57:10.782438Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""C9200-48P"", ""id"": 2, ""manufacturer"": {""description"": """", ""display"": ""Cisco"", ""id"": 4, ""name"": ""Cisco"", ""slug"": ""cisco"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/4/""}, ""model"": ""C9200-48P"", ""slug"": ""c9200-48p"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/2/""}",dmi01-akron-sw01,http://192.168.65.40:8000/dcim/devices/3/,"{""label"": ""Front"", ""value"": ""front""}",0,3,52,0,2026-03-01T05:10:42.534929Z,,,,,0,dmi01-akron-sw01,,,,,10.0,0,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 3, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/3/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Access Switch"", ""id"": 4, ""name"": ""Access Switch"", ""slug"": ""access-switch"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/4/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Akron"", ""id"": 3, ""name"": ""DM-Akron"", ""slug"": ""dm-akron"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/3/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/3/,,,
,,,,{},,0,0,2026-03-01T04:57:11.020083Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""AP7901"", ""id"": 1, ""manufacturer"": {""description"": """", ""display"": ""APC"", ""id"": 1, ""name"": ""APC"", ""slug"": ""apc"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/1/""}, ""model"": ""AP7901"", ""slug"": ""ap7901"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/1/""}",dmi01-albany-pdu01,http://192.168.65.40:8000/dcim/devices/4/,"{""label"": ""Front"", ""value"": ""front""}",0,4,0,0,2026-03-01T05:10:43.401369Z,,,,,0,dmi01-albany-pdu01,,,,,1.0,8,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 4, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/4/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""PDU"", ""id"": 5, ""name"": ""PDU"", ""slug"": ""pdu"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/5/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Albany"", ""id"": 4, ""name"": ""DM-Albany"", ""slug"": ""dm-albany"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/4/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/4/,,,
,,,,{},,2,0,2026-03-01T04:57:11.202995Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""ISR 1111-8P"", ""id"": 3, ""manufacturer"": {""description"": """", ""display"": ""Cisco"", ""id"": 4, ""name"": ""Cisco"", ""slug"": ""cisco"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/4/""}, ""model"": ""ISR 1111-8P"", ""slug"": ""isr1111"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/3/""}",dmi01-albany-rtr01,http://192.168.65.40:8000/dcim/devices/5/,"{""label"": ""Front"", ""value"": ""front""}",0,5,14,0,2026-03-01T05:10:43.661170Z,,,,,0,dmi01-albany-rtr01,,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Cisco IOS"", ""id"": 1, ""name"": ""Cisco IOS"", ""slug"": ""cisco-ios"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/1/"", ""virtualmachine_count"": 0}",4.0,0,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 4, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/4/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Router"", ""id"": 1, ""name"": ""Router"", ""slug"": ""router"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/1/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Albany"", ""id"": 4, ""name"": ""DM-Albany"", ""slug"": ""dm-albany"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/4/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/5/,,,
,,,,{},,0,0,2026-03-01T04:57:11.396142Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""C9200-48P"", ""id"": 2, ""manufacturer"": {""description"": """", ""display"": ""Cisco"", ""id"": 4, ""name"": ""Cisco"", ""slug"": ""cisco"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/4/""}, ""model"": ""C9200-48P"", ""slug"": ""c9200-48p"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/2/""}",dmi01-albany-sw01,http://192.168.65.40:8000/dcim/devices/6/,"{""label"": ""Front"", ""value"": ""front""}",0,6,52,0,2026-03-01T05:10:43.990816Z,,,,,0,dmi01-albany-sw01,,,,,10.0,0,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 4, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/4/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Access Switch"", ""id"": 4, ""name"": ""Access Switch"", ""slug"": ""access-switch"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/4/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Albany"", ""id"": 4, ""name"": ""DM-Albany"", ""slug"": ""dm-albany"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/4/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/6/,,,
,,,,{},,0,0,2026-03-01T04:57:11.603285Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""AP7901"", ""id"": 1, ""manufacturer"": {""description"": """", ""display"": ""APC"", ""id"": 1, ""name"": ""APC"", ""slug"": ""apc"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/1/""}, ""model"": ""AP7901"", ""slug"": ""ap7901"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/1/""}",dmi01-binghamton-pdu01,http://192.168.65.40:8000/dcim/devices/7/,"{""label"": ""Front"", ""value"": ""front""}",0,7,0,0,2026-03-01T05:10:44.284671Z,,,,,0,dmi01-binghamton-pdu01,,,,,1.0,8,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 5, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/5/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""PDU"", ""id"": 5, ""name"": ""PDU"", ""slug"": ""pdu"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/5/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Binghamton"", ""id"": 5, ""name"": ""DM-Binghamton"", ""slug"": ""dm-binghamton"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/5/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/7/,,,
,,,,{},,2,0,2026-03-01T04:57:11.826315Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""ISR 1111-8P"", ""id"": 3, ""manufacturer"": {""description"": """", ""display"": ""Cisco"", ""id"": 4, ""name"": ""Cisco"", ""slug"": ""cisco"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/4/""}, ""model"": ""ISR 1111-8P"", ""slug"": ""isr1111"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/3/""}",dmi01-binghamton-rtr01,http://192.168.65.40:8000/dcim/devices/8/,"{""label"": ""Front"", ""value"": ""front""}",0,8,14,0,2026-03-01T05:10:44.632440Z,,,,,0,dmi01-binghamton-rtr01,,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Cisco IOS"", ""id"": 1, ""name"": ""Cisco IOS"", ""slug"": ""cisco-ios"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/1/"", ""virtualmachine_count"": 0}",4.0,0,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 5, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/5/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Router"", ""id"": 1, ""name"": ""Router"", ""slug"": ""router"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/1/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Binghamton"", ""id"": 5, ""name"": ""DM-Binghamton"", ""slug"": ""dm-binghamton"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/5/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/8/,,,
,,,,{},,0,0,2026-03-01T04:57:12.010903Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""C9200-48P"", ""id"": 2, ""manufacturer"": {""description"": """", ""display"": ""Cisco"", ""id"": 4, ""name"": ""Cisco"", ""slug"": ""cisco"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/4/""}, ""model"": ""C9200-48P"", ""slug"": ""c9200-48p"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/2/""}",dmi01-binghamton-sw01,http://192.168.65.40:8000/dcim/devices/9/,"{""label"": ""Front"", ""value"": ""front""}",0,9,52,0,2026-03-01T05:10:45.010671Z,,,,,0,dmi01-binghamton-sw01,,,,,10.0,0,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 5, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/5/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Access Switch"", ""id"": 4, ""name"": ""Access Switch"", ""slug"": ""access-switch"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/4/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Binghamton"", ""id"": 5, ""name"": ""DM-Binghamton"", ""slug"": ""dm-binghamton"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/5/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/9/,,,
,,,,{},,0,0,2026-03-01T04:57:12.218114Z,{},,0,"{""description"": """", ""device_count"": 13, ""display"": ""AP7901"", ""id"": 1, ""manufacturer"": {""description"": """", ""display"": ""APC"", ""id"": 1, ""name"": ""APC"", ""slug"": ""apc"", ""url"": ""http://192.168.65.40:8000/api/dcim/manufacturers/1/""}, ""model"": ""AP7901"", ""slug"": ""ap7901"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-types/1/""}",dmi01-buffalo-pdu01,http://192.168.65.40:8000/dcim/devices/10/,"{""label"": ""Front"", ""value"": ""front""}",0,10,0,0,2026-03-01T05:10:45.300106Z,,,,,0,dmi01-buffalo-pdu01,,,,,1.0,8,1,,,,"{""description"": """", ""display"": ""Comms closet"", ""id"": 6, ""name"": ""Comms closet"", ""url"": ""http://192.168.65.40:8000/api/dcim/racks/6/""}",0,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""PDU"", ""id"": 5, ""name"": ""PDU"", ""slug"": ""pdu"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/5/"", ""virtualmachine_count"": 0}",,"{""description"": """", ""display"": ""DM-Buffalo"", ""id"": 6, ""name"": ""DM-Buffalo"", ""slug"": ""dm-buffalo"", ""url"": ""http://192.168.65.40:8000/api/dcim/sites/6/""}","{""label"": ""Active"", ""value"": ""active""}",[],"{""description"": """", ""display"": ""Dunder-Mifflin, Inc."", ""id"": 2, ""name"": ""Dunder-Mifflin, Inc."", ""slug"": ""dunder-mifflin"", ""url"": ""http://192.168.65.40:8000/api/tenancy/tenants/2/""}",http://192.168.65.40:8000/api/dcim/devices/10/,,,
