_occupied,cable,cable_end,color,created,custom_fields,description,device,display,display_url,id,label,last_updated,link_peers,link_peers_type,mark_connected,module,name,owner,positions,rear_ports,tags,type,url
True,"{""description"": """", ""display"": ""#83"", ""id"": 83, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/83/""}",B,,2026-03-01T05:17:22.286253Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 1,http://192.168.65.40:8000/dcim/front-ports/1/,1,,2026-03-01T06:35:31.811521Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#83"", ""id"": 83, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/83/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}, ""display"": ""xe-0/0/0"", ""id"": 1459, ""name"": ""xe-0/0/0"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1459/""}]",dcim.interface,False,,Port 1,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 1}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/1/
True,"{""description"": """", ""display"": ""#84"", ""id"": 84, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/84/""}",B,,2026-03-01T05:17:22.344646Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 2,http://192.168.65.40:8000/dcim/front-ports/2/,2,,2026-03-01T06:35:33.196379Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#84"", ""id"": 84, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/84/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}, ""display"": ""xe-0/0/1"", ""id"": 1460, ""name"": ""xe-0/0/1"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1460/""}]",dcim.interface,False,,Port 2,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 2}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/2/
True,"{""description"": """", ""display"": ""#85"", ""id"": 85, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/85/""}",B,,2026-03-01T05:17:22.403166Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 3,http://192.168.65.40:8000/dcim/front-ports/3/,3,,2026-03-01T06:35:33.514946Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#85"", ""id"": 85, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/85/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}, ""display"": ""xe-0/0/0"", ""id"": 1523, ""name"": ""xe-0/0/0"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1523/""}]",dcim.interface,False,,Port 3,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 3}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/3/
True,"{""description"": """", ""display"": ""#86"", ""id"": 86, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/86/""}",B,,2026-03-01T05:17:22.484012Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 4,http://192.168.65.40:8000/dcim/front-ports/4/,4,,2026-03-01T06:35:33.880099Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#86"", ""id"": 86, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/86/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}, ""display"": ""xe-0/0/1"", ""id"": 1524, ""name"": ""xe-0/0/1"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1524/""}]",dcim.interface,False,,Port 4,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 4}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/4/
False,,,,2026-03-01T05:17:22.539709Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 5,http://192.168.65.40:8000/dcim/front-ports/5/,5,,2026-03-01T05:17:22.539728Z,[],,False,,Port 5,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 5}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/5/
False,,,,2026-03-01T05:17:22.598936Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 6,http://192.168.65.40:8000/dcim/front-ports/6/,6,,2026-03-01T05:17:22.598955Z,[],,False,,Port 6,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 6}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/6/
False,,,,2026-03-01T05:17:22.666678Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 7,http://192.168.65.40:8000/dcim/front-ports/7/,7,,2026-03-01T05:17:22.666697Z,[],,False,,Port 7,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 7}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/7/
False,,,,2026-03-01T05:17:22.762903Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 8,http://192.168.65.40:8000/dcim/front-ports/8/,8,,2026-03-01T05:17:22.762936Z,[],,False,,Port 8,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 8}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/8/
False,,,,2026-03-01T05:17:22.826392Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 9,http://192.168.65.40:8000/dcim/front-ports/9/,9,,2026-03-01T05:17:22.826433Z,[],,False,,Port 9,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 9}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/9/
False,,,,2026-03-01T05:17:22.882346Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Port 10,http://192.168.65.40:8000/dcim/front-ports/10/,10,,2026-03-01T05:17:22.882368Z,[],,False,,Port 10,,1,"[{""position"": 1, ""rear_port"": 1, ""rear_port_position"": 10}]",[],"{""label"": ""SC"", ""value"": ""sc""}",http://192.168.65.40:8000/api/dcim/front-ports/10/
