_occupied,bridge,bridge_interfaces,cable,cable_end,connected_endpoints,connected_endpoints_reachable,connected_endpoints_type,count_fhrp_groups,count_ipaddresses,created,custom_fields,description,device,display,display_url,duplex,enabled,id,l2vpn_termination,label,lag,last_updated,link_peers,link_peers_type,mac_address,mac_addresses,mark_connected,mgmt_only,mode,module,mtu,name,owner,parent,poe_mode,poe_type,primary_mac_address,qinq_svlan,rf_channel,rf_channel_frequency,rf_channel_width,rf_role,speed,tagged_vlans,tags,tx_power,type,untagged_vlan,url,vdcs,vlan_translation_policy,vrf,wireless_lans,wireless_link,wwn
True,,[],"{""description"": """", ""display"": ""#56"", ""id"": 56, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/56/""}",B,"[{""description"": """", ""display"": ""Level3 MPLS"", ""id"": 1, ""name"": ""Level3 MPLS"", ""url"": ""http://192.168.65.40:8000/api/circuits/provider-networks/1/""}]",True,circuits.providernetwork,0,0,2026-03-01T04:57:27.236415Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/0/0,http://192.168.65.40:8000/dcim/interfaces/1/,,True,1,,,,2026-03-01T05:38:49.561208Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#56"", ""id"": 56, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/56/""}, ""circuit"": {""cid"": ""KKDG4923"", ""description"": """", ""display"": ""KKDG4923"", ""id"": 20, ""provider"": {""description"": """", ""display"": ""Level 3"", ""id"": 5, ""name"": ""Level 3"", ""slug"": ""level-3"", ""url"": ""http://192.168.65.40:8000/api/circuits/providers/5/""}, ""url"": ""http://192.168.65.40:8000/api/circuits/circuits/20/""}, ""description"": """", ""display"": ""KKDG4923: Termination Z"", ""id"": 27, ""term_side"": ""Z"", ""url"": ""http://192.168.65.40:8000/api/circuits/circuit-terminations/27/""}]",circuits.circuittermination,,[],False,False,,,,GigabitEthernet0/0/0,,,,,,,,,,,,[],[],,"{""label"": ""SFP (1GE)"", ""value"": ""1000base-x-sfp""}",,http://192.168.65.40:8000/api/dcim/interfaces/1/,[],,,[],,
True,,[],"{""description"": """", ""display"": ""#63"", ""id"": 63, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/63/""}",B,,False,,0,0,2026-03-01T04:57:27.338009Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/0/1,http://192.168.65.40:8000/dcim/interfaces/2/,,True,2,,,,2026-03-01T05:38:52.505455Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#63"", ""id"": 63, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/63/""}, ""circuit"": {""cid"": ""1002840283"", ""description"": """", ""display"": ""1002840283"", ""id"": 1, ""provider"": {""description"": """", ""display"": ""CenturyLink"", ""id"": 2, ""name"": ""CenturyLink"", ""slug"": ""centurylink"", ""url"": ""http://192.168.65.40:8000/api/circuits/providers/2/""}, ""url"": ""http://192.168.65.40:8000/api/circuits/circuits/1/""}, ""description"": """", ""display"": ""1002840283: Termination Z"", ""id"": 1, ""term_side"": ""Z"", ""url"": ""http://192.168.65.40:8000/api/circuits/circuit-terminations/1/""}]",circuits.circuittermination,,[],False,False,,,,GigabitEthernet0/0/1,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/2/,[],,,[],,
True,,[],"{""description"": """", ""display"": ""#99"", ""id"": 99, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/99/""}",A,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#99"", ""id"": 99, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/99/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/1"", ""id"": 1409, ""name"": ""GigabitEthernet1/0/1"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1409/""}]",True,dcim.interface,0,0,2026-03-01T05:11:10.670481Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/0,http://192.168.65.40:8000/dcim/interfaces/1407/,,True,1407,,,,2026-03-01T06:55:50.653912Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#99"", ""id"": 99, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/99/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/1"", ""id"": 1409, ""name"": ""GigabitEthernet1/0/1"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1409/""}]",dcim.interface,,[],False,False,,,,GigabitEthernet0/1/0,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/1407/,[],,,[],,
True,,[],"{""description"": """", ""display"": ""#100"", ""id"": 100, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/100/""}",A,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#100"", ""id"": 100, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/100/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/2"", ""id"": 1410, ""name"": ""GigabitEthernet1/0/2"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1410/""}]",True,dcim.interface,0,0,2026-03-01T05:11:10.779066Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/1,http://192.168.65.40:8000/dcim/interfaces/1408/,,True,1408,,,,2026-03-01T06:55:50.960287Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#100"", ""id"": 100, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/100/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""GigabitEthernet1/0/2"", ""id"": 1410, ""name"": ""GigabitEthernet1/0/2"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/1410/""}]",dcim.interface,,[],False,False,,,,GigabitEthernet0/1/1,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/1408/,[],,,[],,
True,,[],"{""description"": """", ""display"": ""#1"", ""id"": 1, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/1/""}",A,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#1"", ""id"": 1, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/1/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""GigabitEthernet1/0/36"", ""id"": 170, ""name"": ""GigabitEthernet1/0/36"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/170/""}]",True,dcim.interface,0,0,2026-03-01T04:57:27.473642Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/2,http://192.168.65.40:8000/dcim/interfaces/3/,,True,3,,,,2026-03-01T05:11:10.991213Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#1"", ""id"": 1, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/1/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""GigabitEthernet1/0/36"", ""id"": 170, ""name"": ""GigabitEthernet1/0/36"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/170/""}]",dcim.interface,,[],False,False,,,,GigabitEthernet0/1/2,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/3/,[],,,[],,
True,,[],"{""description"": """", ""display"": ""#2"", ""id"": 2, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/2/""}",A,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#2"", ""id"": 2, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/2/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""GigabitEthernet1/0/37"", ""id"": 171, ""name"": ""GigabitEthernet1/0/37"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/171/""}]",True,dcim.interface,0,0,2026-03-01T04:57:27.576558Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/3,http://192.168.65.40:8000/dcim/interfaces/4/,,True,4,,,,2026-03-01T05:11:11.261155Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#2"", ""id"": 2, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/2/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""GigabitEthernet1/0/37"", ""id"": 171, ""name"": ""GigabitEthernet1/0/37"", ""url"": ""http://192.168.65.40:8000/api/dcim/interfaces/171/""}]",dcim.interface,,[],False,False,,,,GigabitEthernet0/1/3,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/4/,[],,,[],,
False,,[],,,,,,0,0,2026-03-01T04:57:27.660840Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/4,http://192.168.65.40:8000/dcim/interfaces/5/,,True,5,,,,2026-03-01T05:11:11.505444Z,[],,,[],False,False,,,,GigabitEthernet0/1/4,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/5/,[],,,[],,
False,,[],,,,,,0,0,2026-03-01T04:57:27.745212Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/5,http://192.168.65.40:8000/dcim/interfaces/6/,,True,6,,,,2026-03-01T05:11:11.803066Z,[],,,[],False,False,,,,GigabitEthernet0/1/5,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/6/,[],,,[],,
False,,[],,,,,,0,0,2026-03-01T04:57:27.837644Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/6,http://192.168.65.40:8000/dcim/interfaces/7/,,True,7,,,,2026-03-01T05:11:12.133718Z,[],,,[],False,False,,,,GigabitEthernet0/1/6,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/7/,[],,,[],,
False,,[],,,,,,0,0,2026-03-01T04:57:27.925707Z,{},,"{""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}",GigabitEthernet0/1/7,http://192.168.65.40:8000/dcim/interfaces/8/,,True,8,,,,2026-03-01T05:11:12.645275Z,[],,,[],False,False,,,,GigabitEthernet0/1/7,,,,,,,,,,,,[],[],,"{""label"": ""1000BASE-T (1GE)"", ""value"": ""1000base-t""}",,http://192.168.65.40:8000/api/dcim/interfaces/8/,[],,,[],,
