_occupied,cable,cable_end,color,connected_endpoints,connected_endpoints_reachable,connected_endpoints_type,created,custom_fields,description,device,display,display_url,feed_leg,id,label,last_updated,link_peers,link_peers_type,mark_connected,module,name,owner,power_port,status,tags,type,url
True,"{""description"": """", ""display"": ""#24"", ""id"": 24, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/24/""}",B,,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#24"", ""id"": 24, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/24/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}, ""display"": ""PSU0"", ""id"": 2, ""name"": ""PSU0"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/2/""}]",True,dcim.powerport,2026-03-01T05:02:08.556141Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 1,http://192.168.65.40:8000/dcim/power-outlets/1/,,1,,2026-03-01T05:02:23.344774Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#24"", ""id"": 24, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/24/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-rtr01"", ""id"": 2, ""name"": ""dmi01-akron-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/2/""}, ""display"": ""PSU0"", ""id"": 2, ""name"": ""PSU0"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/2/""}]",dcim.powerport,False,,Outlet 1,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/1/
True,"{""description"": """", ""display"": ""#25"", ""id"": 25, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/25/""}",B,,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#25"", ""id"": 25, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/25/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""Power Port"", ""id"": 3, ""name"": ""Power Port"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/3/""}]",True,dcim.powerport,2026-03-01T05:02:08.621972Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 2,http://192.168.65.40:8000/dcim/power-outlets/2/,,2,,2026-03-01T05:02:23.543109Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#25"", ""id"": 25, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/25/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-sw01"", ""id"": 3, ""name"": ""dmi01-akron-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/3/""}, ""display"": ""Power Port"", ""id"": 3, ""name"": ""Power Port"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/3/""}]",dcim.powerport,False,,Outlet 2,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/2/
False,,,,,,,2026-03-01T05:02:08.688448Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 3,http://192.168.65.40:8000/dcim/power-outlets/3/,,3,,2026-03-01T05:02:08.688467Z,[],,False,,Outlet 3,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/3/
False,,,,,,,2026-03-01T05:02:08.751627Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 4,http://192.168.65.40:8000/dcim/power-outlets/4/,,4,,2026-03-01T05:02:08.751647Z,[],,False,,Outlet 4,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/4/
False,,,,,,,2026-03-01T05:02:08.822174Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 5,http://192.168.65.40:8000/dcim/power-outlets/5/,,5,,2026-03-01T05:02:08.822194Z,[],,False,,Outlet 5,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/5/
False,,,,,,,2026-03-01T05:02:08.884356Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 6,http://192.168.65.40:8000/dcim/power-outlets/6/,,6,,2026-03-01T05:02:08.884375Z,[],,False,,Outlet 6,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/6/
False,,,,,,,2026-03-01T05:02:08.946927Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 7,http://192.168.65.40:8000/dcim/power-outlets/7/,,7,,2026-03-01T05:02:08.946946Z,[],,False,,Outlet 7,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/7/
False,,,,,,,2026-03-01T05:02:09.014516Z,{},,"{""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}",Outlet 8,http://192.168.65.40:8000/dcim/power-outlets/8/,,8,,2026-03-01T05:02:09.014536Z,[],,False,,Outlet 8,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-akron-pdu01"", ""id"": 1, ""name"": ""dmi01-akron-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/1/""}, ""display"": ""Input"", ""id"": 1, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/1/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/8/
True,"{""description"": """", ""display"": ""#26"", ""id"": 26, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/26/""}",B,,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#26"", ""id"": 26, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/26/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-rtr01"", ""id"": 5, ""name"": ""dmi01-albany-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/5/""}, ""display"": ""PSU0"", ""id"": 5, ""name"": ""PSU0"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/5/""}]",True,dcim.powerport,2026-03-01T05:02:09.079050Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 1,http://192.168.65.40:8000/dcim/power-outlets/9/,,9,,2026-03-01T05:02:23.728431Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#26"", ""id"": 26, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/26/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-rtr01"", ""id"": 5, ""name"": ""dmi01-albany-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/5/""}, ""display"": ""PSU0"", ""id"": 5, ""name"": ""PSU0"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/5/""}]",dcim.powerport,False,,Outlet 1,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/9/
True,"{""description"": """", ""display"": ""#27"", ""id"": 27, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/27/""}",B,,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#27"", ""id"": 27, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/27/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-sw01"", ""id"": 6, ""name"": ""dmi01-albany-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/6/""}, ""display"": ""Power Port"", ""id"": 6, ""name"": ""Power Port"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/6/""}]",True,dcim.powerport,2026-03-01T05:02:09.155835Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 2,http://192.168.65.40:8000/dcim/power-outlets/10/,,10,,2026-03-01T05:02:23.974999Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#27"", ""id"": 27, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/27/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-sw01"", ""id"": 6, ""name"": ""dmi01-albany-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/6/""}, ""display"": ""Power Port"", ""id"": 6, ""name"": ""Power Port"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/6/""}]",dcim.powerport,False,,Outlet 2,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/10/
