_occupied,cable,cable_end,color,created,custom_fields,description,device,display,display_url,front_ports,id,label,last_updated,link_peers,link_peers_type,mark_connected,module,name,owner,positions,tags,type,url
True,"{""description"": """", ""display"": ""#81"", ""id"": 81, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/81/""}",B,,2026-03-01T05:18:38.025019Z,{},,"{""description"": """", ""display"": ""PP:B117"", ""id"": 45, ""name"": ""PP:B117"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/45/""}",Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/1/,"[{""front_port"": 1, ""front_port_position"": 1, ""position"": 1}, {""front_port"": 2, ""front_port_position"": 1, ""position"": 2}, {""front_port"": 3, ""front_port_position"": 1, ""position"": 3}, {""front_port"": 4, ""front_port_position"": 1, ""position"": 4}, {""front_port"": 5, ""front_port_position"": 1, ""position"": 5}, {""front_port"": 6, ""front_port_position"": 1, ""position"": 6}, {""front_port"": 7, ""front_port_position"": 1, ""position"": 7}, {""front_port"": 8, ""front_port_position"": 1, ""position"": 8}, {""front_port"": 9, ""front_port_position"": 1, ""position"": 9}, {""front_port"": 10, ""front_port_position"": 1, ""position"": 10}, {""front_port"": 11, ""front_port_position"": 1, ""position"": 11}, {""front_port"": 12, ""front_port_position"": 1, ""position"": 12}, {""front_port"": 13, ""front_port_position"": 1, ""position"": 13}, {""front_port"": 14, ""front_port_position"": 1, ""position"": 14}, {""front_port"": 15, ""front_port_position"": 1, ""position"": 15}, {""front_port"": 16, ""front_port_position"": 1, ""position"": 16}, {""front_port"": 17, ""front_port_position"": 1, ""position"": 17}, {""front_port"": 18, ""front_port_position"": 1, ""position"": 18}, {""front_port"": 19, ""front_port_position"": 1, ""position"": 19}, {""front_port"": 20, ""front_port_position"": 1, ""position"": 20}, {""front_port"": 21, ""front_port_position"": 1, ""position"": 21}, {""front_port"": 22, ""front_port_position"": 1, ""position"": 22}, {""front_port"": 23, ""front_port_position"": 1, ""position"": 23}, {""front_port"": 24, ""front_port_position"": 1, ""position"": 24}, {""front_port"": 25, ""front_port_position"": 1, ""position"": 25}, {""front_port"": 26, ""front_port_position"": 1, ""position"": 26}, {""front_port"": 27, ""front_port_position"": 1, ""position"": 27}, {""front_port"": 28, ""front_port_position"": 1, ""position"": 28}, {""front_port"": 29, ""front_port_position"": 1, ""position"": 29}, {""front_port"": 30, ""front_port_position"": 1, ""position"": 30}, {""front_port"": 31, ""front_port_position"": 1, ""position"": 31}, {""front_port"": 32, ""front_port_position"": 1, ""position"": 32}, {""front_port"": 33, ""front_port_position"": 1, ""position"": 33}, {""front_port"": 34, ""front_port_position"": 1, ""position"": 34}, {""front_port"": 35, ""front_port_position"": 1, ""position"": 35}, {""front_port"": 36, ""front_port_position"": 1, ""position"": 36}, {""front_port"": 37, ""front_port_position"": 1, ""position"": 37}, {""front_port"": 38, ""front_port_position"": 1, ""position"": 38}, {""front_port"": 39, ""front_port_position"": 1, ""position"": 39}, {""front_port"": 40, ""front_port_position"": 1, ""position"": 40}, {""front_port"": 41, ""front_port_position"": 1, ""position"": 41}, {""front_port"": 42, ""front_port_position"": 1, ""position"": 42}, {""front_port"": 43, ""front_port_position"": 1, ""position"": 43}, {""front_port"": 44, ""front_port_position"": 1, ""position"": 44}, {""front_port"": 45, ""front_port_position"": 1, ""position"": 45}, {""front_port"": 46, ""front_port_position"": 1, ""position"": 46}, {""front_port"": 47, ""front_port_position"": 1, ""position"": 47}, {""front_port"": 48, ""front_port_position"": 1, ""position"": 48}]",1,,2026-03-01T06:35:31.236075Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#81"", ""id"": 81, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/81/""}, ""circuit"": {""cid"": ""350927"", ""description"": """", ""display"": ""350927"", ""id"": 28, ""provider"": {""description"": """", ""display"": ""NCSU Facilities"", ""id"": 6, ""name"": ""NCSU Facilities"", ""slug"": ""ncsu-facilities"", ""url"": ""http://192.168.65.40:8000/api/circuits/providers/6/""}, ""url"": ""http://192.168.65.40:8000/api/circuits/circuits/28/""}, ""description"": """", ""display"": ""350927: Termination A"", ""id"": 42, ""term_side"": ""A"", ""url"": ""http://192.168.65.40:8000/api/circuits/circuit-terminations/42/""}]",circuits.circuittermination,False,,Rear Splice,,48,[],"{""label"": ""Splice"", ""value"": ""splice""}",http://192.168.65.40:8000/api/dcim/rear-ports/1/
True,"{""description"": """", ""display"": ""#82"", ""id"": 82, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/82/""}",B,,2026-03-01T05:18:38.347952Z,{},,"{""description"": """", ""display"": ""PP:B118"", ""id"": 46, ""name"": ""PP:B118"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/46/""}",Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/2/,"[{""front_port"": 49, ""front_port_position"": 1, ""position"": 1}, {""front_port"": 50, ""front_port_position"": 1, ""position"": 2}, {""front_port"": 51, ""front_port_position"": 1, ""position"": 3}, {""front_port"": 52, ""front_port_position"": 1, ""position"": 4}, {""front_port"": 53, ""front_port_position"": 1, ""position"": 5}, {""front_port"": 54, ""front_port_position"": 1, ""position"": 6}, {""front_port"": 55, ""front_port_position"": 1, ""position"": 7}, {""front_port"": 56, ""front_port_position"": 1, ""position"": 8}, {""front_port"": 57, ""front_port_position"": 1, ""position"": 9}, {""front_port"": 58, ""front_port_position"": 1, ""position"": 10}, {""front_port"": 59, ""front_port_position"": 1, ""position"": 11}, {""front_port"": 60, ""front_port_position"": 1, ""position"": 12}, {""front_port"": 61, ""front_port_position"": 1, ""position"": 13}, {""front_port"": 62, ""front_port_position"": 1, ""position"": 14}, {""front_port"": 63, ""front_port_position"": 1, ""position"": 15}, {""front_port"": 64, ""front_port_position"": 1, ""position"": 16}, {""front_port"": 65, ""front_port_position"": 1, ""position"": 17}, {""front_port"": 66, ""front_port_position"": 1, ""position"": 18}, {""front_port"": 67, ""front_port_position"": 1, ""position"": 19}, {""front_port"": 68, ""front_port_position"": 1, ""position"": 20}, {""front_port"": 69, ""front_port_position"": 1, ""position"": 21}, {""front_port"": 70, ""front_port_position"": 1, ""position"": 22}, {""front_port"": 71, ""front_port_position"": 1, ""position"": 23}, {""front_port"": 72, ""front_port_position"": 1, ""position"": 24}, {""front_port"": 73, ""front_port_position"": 1, ""position"": 25}, {""front_port"": 74, ""front_port_position"": 1, ""position"": 26}, {""front_port"": 75, ""front_port_position"": 1, ""position"": 27}, {""front_port"": 76, ""front_port_position"": 1, ""position"": 28}, {""front_port"": 77, ""front_port_position"": 1, ""position"": 29}, {""front_port"": 78, ""front_port_position"": 1, ""position"": 30}, {""front_port"": 79, ""front_port_position"": 1, ""position"": 31}, {""front_port"": 80, ""front_port_position"": 1, ""position"": 32}, {""front_port"": 81, ""front_port_position"": 1, ""position"": 33}, {""front_port"": 82, ""front_port_position"": 1, ""position"": 34}, {""front_port"": 83, ""front_port_position"": 1, ""position"": 35}, {""front_port"": 84, ""front_port_position"": 1, ""position"": 36}, {""front_port"": 85, ""front_port_position"": 1, ""position"": 37}, {""front_port"": 86, ""front_port_position"": 1, ""position"": 38}, {""front_port"": 87, ""front_port_position"": 1, ""position"": 39}, {""front_port"": 88, ""front_port_position"": 1, ""position"": 40}, {""front_port"": 89, ""front_port_position"": 1, ""position"": 41}, {""front_port"": 90, ""front_port_position"": 1, ""position"": 42}, {""front_port"": 91, ""front_port_position"": 1, ""position"": 43}, {""front_port"": 92, ""front_port_position"": 1, ""position"": 44}, {""front_port"": 93, ""front_port_position"": 1, ""position"": 45}, {""front_port"": 94, ""front_port_position"": 1, ""position"": 46}, {""front_port"": 95, ""front_port_position"": 1, ""position"": 47}, {""front_port"": 96, ""front_port_position"": 1, ""position"": 48}]",2,,2026-03-01T06:35:31.498279Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#82"", ""id"": 82, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/82/""}, ""circuit"": {""cid"": ""398282"", ""description"": """", ""display"": ""398282"", ""id"": 29, ""provider"": {""description"": """", ""display"": ""NCSU Facilities"", ""id"": 6, ""name"": ""NCSU Facilities"", ""slug"": ""ncsu-facilities"", ""url"": ""http://192.168.65.40:8000/api/circuits/providers/6/""}, ""url"": ""http://192.168.65.40:8000/api/circuits/circuits/29/""}, ""description"": """", ""display"": ""398282: Termination A"", ""id"": 44, ""term_side"": ""A"", ""url"": ""http://192.168.65.40:8000/api/circuits/circuit-terminations/44/""}]",circuits.circuittermination,False,,Rear Splice,,48,[],"{""label"": ""Splice"", ""value"": ""splice""}",http://192.168.65.40:8000/api/dcim/rear-ports/2/
True,"{""description"": """", ""display"": ""#79"", ""id"": 79, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/79/""}",B,,2026-03-01T05:18:38.682265Z,{},,"{""description"": """", ""display"": ""PP:B128"", ""id"": 47, ""name"": ""PP:B128"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/47/""}",Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/3/,"[{""front_port"": 97, ""front_port_position"": 1, ""position"": 1}, {""front_port"": 98, ""front_port_position"": 1, ""position"": 2}, {""front_port"": 99, ""front_port_position"": 1, ""position"": 3}, {""front_port"": 100, ""front_port_position"": 1, ""position"": 4}, {""front_port"": 101, ""front_port_position"": 1, ""position"": 5}, {""front_port"": 102, ""front_port_position"": 1, ""position"": 6}, {""front_port"": 103, ""front_port_position"": 1, ""position"": 7}, {""front_port"": 104, ""front_port_position"": 1, ""position"": 8}, {""front_port"": 105, ""front_port_position"": 1, ""position"": 9}, {""front_port"": 106, ""front_port_position"": 1, ""position"": 10}, {""front_port"": 107, ""front_port_position"": 1, ""position"": 11}, {""front_port"": 108, ""front_port_position"": 1, ""position"": 12}, {""front_port"": 109, ""front_port_position"": 1, ""position"": 13}, {""front_port"": 110, ""front_port_position"": 1, ""position"": 14}, {""front_port"": 111, ""front_port_position"": 1, ""position"": 15}, {""front_port"": 112, ""front_port_position"": 1, ""position"": 16}, {""front_port"": 113, ""front_port_position"": 1, ""position"": 17}, {""front_port"": 114, ""front_port_position"": 1, ""position"": 18}, {""front_port"": 115, ""front_port_position"": 1, ""position"": 19}, {""front_port"": 116, ""front_port_position"": 1, ""position"": 20}, {""front_port"": 117, ""front_port_position"": 1, ""position"": 21}, {""front_port"": 118, ""front_port_position"": 1, ""position"": 22}, {""front_port"": 119, ""front_port_position"": 1, ""position"": 23}, {""front_port"": 120, ""front_port_position"": 1, ""position"": 24}, {""front_port"": 121, ""front_port_position"": 1, ""position"": 25}, {""front_port"": 122, ""front_port_position"": 1, ""position"": 26}, {""front_port"": 123, ""front_port_position"": 1, ""position"": 27}, {""front_port"": 124, ""front_port_position"": 1, ""position"": 28}, {""front_port"": 125, ""front_port_position"": 1, ""position"": 29}, {""front_port"": 126, ""front_port_position"": 1, ""position"": 30}, {""front_port"": 127, ""front_port_position"": 1, ""position"": 31}, {""front_port"": 128, ""front_port_position"": 1, ""position"": 32}, {""front_port"": 129, ""front_port_position"": 1, ""position"": 33}, {""front_port"": 130, ""front_port_position"": 1, ""position"": 34}, {""front_port"": 131, ""front_port_position"": 1, ""position"": 35}, {""front_port"": 132, ""front_port_position"": 1, ""position"": 36}, {""front_port"": 133, ""front_port_position"": 1, ""position"": 37}, {""front_port"": 134, ""front_port_position"": 1, ""position"": 38}, {""front_port"": 135, ""front_port_position"": 1, ""position"": 39}, {""front_port"": 136, ""front_port_position"": 1, ""position"": 40}, {""front_port"": 137, ""front_port_position"": 1, ""position"": 41}, {""front_port"": 138, ""front_port_position"": 1, ""position"": 42}, {""front_port"": 139, ""front_port_position"": 1, ""position"": 43}, {""front_port"": 140, ""front_port_position"": 1, ""position"": 44}, {""front_port"": 141, ""front_port_position"": 1, ""position"": 45}, {""front_port"": 142, ""front_port_position"": 1, ""position"": 46}, {""front_port"": 143, ""front_port_position"": 1, ""position"": 47}, {""front_port"": 144, ""front_port_position"": 1, ""position"": 48}]",3,,2026-03-01T06:35:30.810330Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#79"", ""id"": 79, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/79/""}, ""circuit"": {""cid"": ""319031"", ""description"": """", ""display"": ""319031"", ""id"": 27, ""provider"": {""description"": """", ""display"": ""NCSU Facilities"", ""id"": 6, ""name"": ""NCSU Facilities"", ""slug"": ""ncsu-facilities"", ""url"": ""http://192.168.65.40:8000/api/circuits/providers/6/""}, ""url"": ""http://192.168.65.40:8000/api/circuits/circuits/27/""}, ""description"": """", ""display"": ""319031: Termination A"", ""id"": 40, ""term_side"": ""A"", ""url"": ""http://192.168.65.40:8000/api/circuits/circuit-terminations/40/""}]",circuits.circuittermination,False,,Rear Splice,,48,[],"{""label"": ""Splice"", ""value"": ""splice""}",http://192.168.65.40:8000/api/dcim/rear-ports/3/
True,"{""description"": """", ""display"": ""#80"", ""id"": 80, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/80/""}",B,,2026-03-01T05:18:38.986967Z,{},,"{""description"": """", ""display"": ""PP:MDF"", ""id"": 48, ""name"": ""PP:MDF"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/48/""}",Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/4/,"[{""front_port"": 145, ""front_port_position"": 1, ""position"": 1}, {""front_port"": 146, ""front_port_position"": 1, ""position"": 2}, {""front_port"": 147, ""front_port_position"": 1, ""position"": 3}, {""front_port"": 148, ""front_port_position"": 1, ""position"": 4}, {""front_port"": 149, ""front_port_position"": 1, ""position"": 5}, {""front_port"": 150, ""front_port_position"": 1, ""position"": 6}, {""front_port"": 151, ""front_port_position"": 1, ""position"": 7}, {""front_port"": 152, ""front_port_position"": 1, ""position"": 8}, {""front_port"": 153, ""front_port_position"": 1, ""position"": 9}, {""front_port"": 154, ""front_port_position"": 1, ""position"": 10}, {""front_port"": 155, ""front_port_position"": 1, ""position"": 11}, {""front_port"": 156, ""front_port_position"": 1, ""position"": 12}, {""front_port"": 157, ""front_port_position"": 1, ""position"": 13}, {""front_port"": 158, ""front_port_position"": 1, ""position"": 14}, {""front_port"": 159, ""front_port_position"": 1, ""position"": 15}, {""front_port"": 160, ""front_port_position"": 1, ""position"": 16}, {""front_port"": 161, ""front_port_position"": 1, ""position"": 17}, {""front_port"": 162, ""front_port_position"": 1, ""position"": 18}, {""front_port"": 163, ""front_port_position"": 1, ""position"": 19}, {""front_port"": 164, ""front_port_position"": 1, ""position"": 20}, {""front_port"": 165, ""front_port_position"": 1, ""position"": 21}, {""front_port"": 166, ""front_port_position"": 1, ""position"": 22}, {""front_port"": 167, ""front_port_position"": 1, ""position"": 23}, {""front_port"": 168, ""front_port_position"": 1, ""position"": 24}, {""front_port"": 169, ""front_port_position"": 1, ""position"": 25}, {""front_port"": 170, ""front_port_position"": 1, ""position"": 26}, {""front_port"": 171, ""front_port_position"": 1, ""position"": 27}, {""front_port"": 172, ""front_port_position"": 1, ""position"": 28}, {""front_port"": 173, ""front_port_position"": 1, ""position"": 29}, {""front_port"": 174, ""front_port_position"": 1, ""position"": 30}, {""front_port"": 175, ""front_port_position"": 1, ""position"": 31}, {""front_port"": 176, ""front_port_position"": 1, ""position"": 32}, {""front_port"": 177, ""front_port_position"": 1, ""position"": 33}, {""front_port"": 178, ""front_port_position"": 1, ""position"": 34}, {""front_port"": 179, ""front_port_position"": 1, ""position"": 35}, {""front_port"": 180, ""front_port_position"": 1, ""position"": 36}, {""front_port"": 181, ""front_port_position"": 1, ""position"": 37}, {""front_port"": 182, ""front_port_position"": 1, ""position"": 38}, {""front_port"": 183, ""front_port_position"": 1, ""position"": 39}, {""front_port"": 184, ""front_port_position"": 1, ""position"": 40}, {""front_port"": 185, ""front_port_position"": 1, ""position"": 41}, {""front_port"": 186, ""front_port_position"": 1, ""position"": 42}, {""front_port"": 187, ""front_port_position"": 1, ""position"": 43}, {""front_port"": 188, ""front_port_position"": 1, ""position"": 44}, {""front_port"": 189, ""front_port_position"": 1, ""position"": 45}, {""front_port"": 190, ""front_port_position"": 1, ""position"": 46}, {""front_port"": 191, ""front_port_position"": 1, ""position"": 47}, {""front_port"": 192, ""front_port_position"": 1, ""position"": 48}]",4,,2026-03-01T06:35:31.053043Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#80"", ""id"": 80, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/80/""}, ""circuit"": {""cid"": ""319031"", ""description"": """", ""display"": ""319031"", ""id"": 27, ""provider"": {""description"": """", ""display"": ""NCSU Facilities"", ""id"": 6, ""name"": ""NCSU Facilities"", ""slug"": ""ncsu-facilities"", ""url"": ""http://192.168.65.40:8000/api/circuits/providers/6/""}, ""url"": ""http://192.168.65.40:8000/api/circuits/circuits/27/""}, ""description"": """", ""display"": ""319031: Termination Z"", ""id"": 41, ""term_side"": ""Z"", ""url"": ""http://192.168.65.40:8000/api/circuits/circuit-terminations/41/""}]",circuits.circuittermination,False,,Rear Splice,,48,[],"{""label"": ""Splice"", ""value"": ""splice""}",http://192.168.65.40:8000/api/dcim/rear-ports/4/
False,,,,2026-03-01T05:18:39.292189Z,{},,"{""description"": """", ""display"": ""Panduit 48-Port Patch Panel (73)"", ""id"": 73, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/73/""}",Port 1,http://192.168.65.40:8000/dcim/rear-ports/5/,"[{""front_port"": 193, ""front_port_position"": 1, ""position"": 1}]",5,,2026-03-01T05:18:39.292208Z,[],,False,,Port 1,,1,[],"{""label"": ""110 Punch"", ""value"": ""110-punch""}",http://192.168.65.40:8000/api/dcim/rear-ports/5/
False,,,,2026-03-01T05:18:39.355320Z,{},,"{""description"": """", ""display"": ""Panduit 48-Port Patch Panel (73)"", ""id"": 73, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/73/""}",Port 2,http://192.168.65.40:8000/dcim/rear-ports/6/,"[{""front_port"": 194, ""front_port_position"": 1, ""position"": 1}]",6,,2026-03-01T05:18:39.355338Z,[],,False,,Port 2,,1,[],"{""label"": ""110 Punch"", ""value"": ""110-punch""}",http://192.168.65.40:8000/api/dcim/rear-ports/6/
False,,,,2026-03-01T05:18:39.416051Z,{},,"{""description"": """", ""display"": ""Panduit 48-Port Patch Panel (73)"", ""id"": 73, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/73/""}",Port 3,http://192.168.65.40:8000/dcim/rear-ports/7/,"[{""front_port"": 195, ""front_port_position"": 1, ""position"": 1}]",7,,2026-03-01T05:18:39.416070Z,[],,False,,Port 3,,1,[],"{""label"": ""110 Punch"", ""value"": ""110-punch""}",http://192.168.65.40:8000/api/dcim/rear-ports/7/
False,,,,2026-03-01T05:18:39.479899Z,{},,"{""description"": """", ""display"": ""Panduit 48-Port Patch Panel (73)"", ""id"": 73, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/73/""}",Port 4,http://192.168.65.40:8000/dcim/rear-ports/8/,"[{""front_port"": 196, ""front_port_position"": 1, ""position"": 1}]",8,,2026-03-01T05:18:39.479918Z,[],,False,,Port 4,,1,[],"{""label"": ""110 Punch"", ""value"": ""110-punch""}",http://192.168.65.40:8000/api/dcim/rear-ports/8/
False,,,,2026-03-01T05:18:39.543499Z,{},,"{""description"": """", ""display"": ""Panduit 48-Port Patch Panel (73)"", ""id"": 73, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/73/""}",Port 5,http://192.168.65.40:8000/dcim/rear-ports/9/,"[{""front_port"": 197, ""front_port_position"": 1, ""position"": 1}]",9,,2026-03-01T05:18:39.543517Z,[],,False,,Port 5,,1,[],"{""label"": ""110 Punch"", ""value"": ""110-punch""}",http://192.168.65.40:8000/api/dcim/rear-ports/9/
False,,,,2026-03-01T05:18:39.607521Z,{},,"{""description"": """", ""display"": ""Panduit 48-Port Patch Panel (73)"", ""id"": 73, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/73/""}",Port 6,http://192.168.65.40:8000/dcim/rear-ports/10/,"[{""front_port"": 198, ""front_port_position"": 1, ""position"": 1}]",10,,2026-03-01T05:18:39.607540Z,[],,False,,Port 6,,1,[],"{""label"": ""110 Punch"", ""value"": ""110-punch""}",http://192.168.65.40:8000/api/dcim/rear-ports/10/
