cluster,comments,config_context,config_template,created,custom_fields,description,device,disk,display,display_url,id,interface_count,last_updated,local_context_data,memory,name,owner,platform,primary_ip,primary_ip4,primary_ip6,role,serial,site,start_on_boot,status,tags,tenant,url,vcpus,virtual_disk_count
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:14.473606Z,{},,,,vm1,http://192.168.65.40:8000/virtualization/virtual-machines/1/,1,4,2026-03-01T05:36:14.473623Z,,,vm1,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/1/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:14.583115Z,{},,,,vm2,http://192.168.65.40:8000/virtualization/virtual-machines/2/,2,4,2026-03-01T05:36:14.583133Z,,,vm2,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/2/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:14.672260Z,{},,,,vm3,http://192.168.65.40:8000/virtualization/virtual-machines/3/,3,4,2026-03-01T05:36:14.672277Z,,,vm3,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/3/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:14.758517Z,{},,,,vm4,http://192.168.65.40:8000/virtualization/virtual-machines/4/,4,4,2026-03-01T05:36:14.758534Z,,,vm4,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/4/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:14.851016Z,{},,,,vm5,http://192.168.65.40:8000/virtualization/virtual-machines/5/,5,4,2026-03-01T05:36:14.851034Z,,,vm5,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/5/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:14.944272Z,{},,,,vm6,http://192.168.65.40:8000/virtualization/virtual-machines/6/,6,4,2026-03-01T05:36:14.944289Z,,,vm6,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/6/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:15.041898Z,{},,,,vm7,http://192.168.65.40:8000/virtualization/virtual-machines/7/,7,4,2026-03-01T05:36:15.041915Z,,,vm7,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/7/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:15.166284Z,{},,,,vm8,http://192.168.65.40:8000/virtualization/virtual-machines/8/,8,4,2026-03-01T05:36:15.166302Z,,,vm8,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/8/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:15.278860Z,{},,,,vm9,http://192.168.65.40:8000/virtualization/virtual-machines/9/,9,4,2026-03-01T05:36:15.278882Z,,,vm9,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/9/,,0
"{""description"": """", ""display"": ""DO-AMS3"", ""id"": 1, ""name"": ""DO-AMS3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/clusters/1/""}",,{},,2026-03-01T05:36:16.505194Z,{},,,,vm10,http://192.168.65.40:8000/virtualization/virtual-machines/10/,10,4,2026-03-01T05:36:16.505212Z,,,vm10,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Ubuntu Linux 20.04"", ""id"": 3, ""name"": ""Ubuntu Linux 20.04"", ""slug"": ""ubuntu-linux-20-04"", ""url"": ""http://192.168.65.40:8000/api/dcim/platforms/3/"", ""virtualmachine_count"": 0}",,,,"{""_depth"": 0, ""description"": """", ""device_count"": 0, ""display"": ""Application Server"", ""id"": 7, ""name"": ""Application Server"", ""slug"": ""application-server"", ""url"": ""http://192.168.65.40:8000/api/dcim/device-roles/7/"", ""virtualmachine_count"": 0}",,,"{""label"": ""Off"", ""value"": ""off""}","{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/virtualization/virtual-machines/10/,,0
