_occupied,cable,cable_end,color,created,description,display,display_url,id,label,last_updated,link_peers_type,mark_connected,module,name,owner,positions,url
False,,,,2026-03-01T05:17:22.286253Z,,Port 1,http://192.168.65.40:8000/dcim/front-ports/1/,1,,2026-03-01T05:17:22.286273Z,,False,,Port 1,,1,http://192.168.65.40:8000/api/dcim/front-ports/1/
False,,,,2026-03-01T05:17:22.344646Z,,Port 2,http://192.168.65.40:8000/dcim/front-ports/2/,2,,2026-03-01T05:17:22.344665Z,,False,,Port 2,,1,http://192.168.65.40:8000/api/dcim/front-ports/2/
False,,,,2026-03-01T05:17:22.403166Z,,Port 3,http://192.168.65.40:8000/dcim/front-ports/3/,3,,2026-03-01T05:17:22.403185Z,,False,,Port 3,,1,http://192.168.65.40:8000/api/dcim/front-ports/3/
False,,,,2026-03-01T05:17:22.484012Z,,Port 4,http://192.168.65.40:8000/dcim/front-ports/4/,4,,2026-03-01T05:17:22.484032Z,,False,,Port 4,,1,http://192.168.65.40:8000/api/dcim/front-ports/4/
False,,,,2026-03-01T05:17:22.539709Z,,Port 5,http://192.168.65.40:8000/dcim/front-ports/5/,5,,2026-03-01T05:17:22.539728Z,,False,,Port 5,,1,http://192.168.65.40:8000/api/dcim/front-ports/5/
False,,,,2026-03-01T05:17:22.598936Z,,Port 6,http://192.168.65.40:8000/dcim/front-ports/6/,6,,2026-03-01T05:17:22.598955Z,,False,,Port 6,,1,http://192.168.65.40:8000/api/dcim/front-ports/6/
False,,,,2026-03-01T05:17:22.666678Z,,Port 7,http://192.168.65.40:8000/dcim/front-ports/7/,7,,2026-03-01T05:17:22.666697Z,,False,,Port 7,,1,http://192.168.65.40:8000/api/dcim/front-ports/7/
False,,,,2026-03-01T05:17:22.762903Z,,Port 8,http://192.168.65.40:8000/dcim/front-ports/8/,8,,2026-03-01T05:17:22.762936Z,,False,,Port 8,,1,http://192.168.65.40:8000/api/dcim/front-ports/8/
False,,,,2026-03-01T05:17:22.826392Z,,Port 9,http://192.168.65.40:8000/dcim/front-ports/9/,9,,2026-03-01T05:17:22.826433Z,,False,,Port 9,,1,http://192.168.65.40:8000/api/dcim/front-ports/9/
False,,,,2026-03-01T05:17:22.882346Z,,Port 10,http://192.168.65.40:8000/dcim/front-ports/10/,10,,2026-03-01T05:17:22.882368Z,,False,,Port 10,,1,http://192.168.65.40:8000/api/dcim/front-ports/10/
