_occupied,cable,cable_end,color,created,description,display,display_url,id,label,last_updated,link_peers_type,mark_connected,module,name,owner,positions,url
False,,,,2026-03-01T05:18:38.025019Z,,Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/1/,1,,2026-03-01T05:18:38.025039Z,,False,,Rear Splice,,48,http://192.168.65.40:8000/api/dcim/rear-ports/1/
False,,,,2026-03-01T05:18:38.347952Z,,Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/2/,2,,2026-03-01T05:18:38.347976Z,,False,,Rear Splice,,48,http://192.168.65.40:8000/api/dcim/rear-ports/2/
False,,,,2026-03-01T05:18:38.682265Z,,Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/3/,3,,2026-03-01T05:18:38.682284Z,,False,,Rear Splice,,48,http://192.168.65.40:8000/api/dcim/rear-ports/3/
False,,,,2026-03-01T05:18:38.986967Z,,Rear Splice,http://192.168.65.40:8000/dcim/rear-ports/4/,4,,2026-03-01T05:18:38.986986Z,,False,,Rear Splice,,48,http://192.168.65.40:8000/api/dcim/rear-ports/4/
False,,,,2026-03-01T05:18:39.292189Z,,Port 1,http://192.168.65.40:8000/dcim/rear-ports/5/,5,,2026-03-01T05:18:39.292208Z,,False,,Port 1,,1,http://192.168.65.40:8000/api/dcim/rear-ports/5/
False,,,,2026-03-01T05:18:39.355320Z,,Port 2,http://192.168.65.40:8000/dcim/rear-ports/6/,6,,2026-03-01T05:18:39.355338Z,,False,,Port 2,,1,http://192.168.65.40:8000/api/dcim/rear-ports/6/
False,,,,2026-03-01T05:18:39.416051Z,,Port 3,http://192.168.65.40:8000/dcim/rear-ports/7/,7,,2026-03-01T05:18:39.416070Z,,False,,Port 3,,1,http://192.168.65.40:8000/api/dcim/rear-ports/7/
False,,,,2026-03-01T05:18:39.479899Z,,Port 4,http://192.168.65.40:8000/dcim/rear-ports/8/,8,,2026-03-01T05:18:39.479918Z,,False,,Port 4,,1,http://192.168.65.40:8000/api/dcim/rear-ports/8/
False,,,,2026-03-01T05:18:39.543499Z,,Port 5,http://192.168.65.40:8000/dcim/rear-ports/9/,9,,2026-03-01T05:18:39.543517Z,,False,,Port 5,,1,http://192.168.65.40:8000/api/dcim/rear-ports/9/
False,,,,2026-03-01T05:18:39.607521Z,,Port 6,http://192.168.65.40:8000/dcim/rear-ports/10/,10,,2026-03-01T05:18:39.607540Z,,False,,Port 6,,1,http://192.168.65.40:8000/api/dcim/rear-ports/10/
False,,,,2026-03-01T05:18:39.678267Z,,Port 7,http://192.168.65.40:8000/dcim/rear-ports/11/,11,,2026-03-01T05:18:39.678286Z,,False,,Port 7,,1,http://192.168.65.40:8000/api/dcim/rear-ports/11/
False,,,,2026-03-01T05:18:39.746491Z,,Port 8,http://192.168.65.40:8000/dcim/rear-ports/12/,12,,2026-03-01T05:18:39.746511Z,,False,,Port 8,,1,http://192.168.65.40:8000/api/dcim/rear-ports/12/
