circuit_count,cluster_count,comments,created,description,device_count,display,display_url,id,ipaddress_count,last_updated,name,owner,prefix_count,rack_count,site_count,slug,url,virtualmachine_count,vlan_count,vrf_count
0,0,,2026-03-01T04:26:43.347141Z,,0,Cyberdyne Systems,http://192.168.65.40:8000/tenancy/tenants/1/,1,0,2026-03-01T04:26:43.347158Z,Cyberdyne Systems,,0,0,0,cyberdyne,http://192.168.65.40:8000/api/tenancy/tenants/1/,0,0,0
26,0,,2026-03-01T04:26:43.413038Z,,39,"Dunder-Mifflin, Inc.",http://192.168.65.40:8000/tenancy/tenants/2/,2,0,2026-03-01T04:26:43.413055Z,"Dunder-Mifflin, Inc.",,68,13,0,dunder-mifflin,http://192.168.65.40:8000/api/tenancy/tenants/2/,0,39,0
0,0,,2026-03-01T04:26:43.481535Z,,0,Initech,http://192.168.65.40:8000/tenancy/tenants/3/,3,0,2026-03-01T04:26:43.481552Z,Initech,,0,0,0,initech,http://192.168.65.40:8000/api/tenancy/tenants/3/,0,0,0
0,0,,2026-03-01T04:26:43.550587Z,,0,Jimbob's Banking & Trust,http://192.168.65.40:8000/tenancy/tenants/4/,4,0,2026-03-01T04:26:43.550602Z,Jimbob's Banking & Trust,,0,0,0,jimbobs-banking-trust,http://192.168.65.40:8000/api/tenancy/tenants/4/,0,24,0
0,0,,2026-03-01T04:26:43.615880Z,,0,Nakatomi Corportation,http://192.168.65.40:8000/tenancy/tenants/5/,5,0,2026-03-01T04:26:43.615896Z,Nakatomi Corportation,,0,0,0,nakatomi,http://192.168.65.40:8000/api/tenancy/tenants/5/,0,0,0
3,0,,2026-03-01T04:26:43.683872Z,,27,NC State University,http://192.168.65.40:8000/tenancy/tenants/6/,6,0,2026-03-01T04:26:43.683889Z,NC State University,,0,29,0,nc-state,http://192.168.65.40:8000/api/tenancy/tenants/6/,0,0,0
0,0,,2026-03-01T04:26:43.746833Z,,0,Pied Piper,http://192.168.65.40:8000/tenancy/tenants/7/,7,0,2026-03-01T04:26:43.746849Z,Pied Piper,,0,0,0,pied-piper,http://192.168.65.40:8000/api/tenancy/tenants/7/,0,0,0
0,0,,2026-03-01T04:26:43.810025Z,,0,Stark Industries,http://192.168.65.40:8000/tenancy/tenants/8/,8,0,2026-03-01T04:26:43.810040Z,Stark Industries,,0,0,0,stark-industries,http://192.168.65.40:8000/api/tenancy/tenants/8/,0,0,0
0,0,,2026-03-01T04:26:43.870385Z,,0,Strickland Propane,http://192.168.65.40:8000/tenancy/tenants/9/,9,0,2026-03-01T04:26:43.870419Z,Strickland Propane,,0,0,0,strickland-propane,http://192.168.65.40:8000/api/tenancy/tenants/9/,0,0,0
0,0,,2026-03-01T04:26:43.930554Z,,0,Umbrella Corporation,http://192.168.65.40:8000/tenancy/tenants/10/,10,0,2026-03-01T04:26:43.930570Z,Umbrella Corporation,,0,0,0,umbrella,http://192.168.65.40:8000/api/tenancy/tenants/10/,0,0,0
0,0,,2026-03-01T04:26:43.992933Z,,0,Wayne Enterprises,http://192.168.65.40:8000/tenancy/tenants/11/,11,0,2026-03-01T04:26:43.992950Z,Wayne Enterprises,,0,0,0,wayne-enterprises,http://192.168.65.40:8000/api/tenancy/tenants/11/,0,0,0
