allocated_disk,allocated_memory,allocated_vcpus,comments,created,description,device_count,display,display_url,id,last_updated,name,owner,scope,scope_id,scope_type,tenant,url,virtualmachine_count
,,,,2026-03-01T05:02:30.559826Z,,0,DO-AMS3,http://192.168.65.40:8000/virtualization/clusters/1/,1,2026-03-01T05:02:30.559844Z,DO-AMS3,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/1/,20
,,,,2026-03-01T05:02:30.620585Z,,0,DO-BLR1,http://192.168.65.40:8000/virtualization/clusters/2/,2,2026-03-01T05:02:30.620601Z,DO-BLR1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/2/,20
,,,,2026-03-01T05:02:30.676214Z,,0,DO-FRA1,http://192.168.65.40:8000/virtualization/clusters/3/,3,2026-03-01T05:02:30.676231Z,DO-FRA1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/3/,20
,,,,2026-03-01T05:02:30.741338Z,,0,DO-LON1,http://192.168.65.40:8000/virtualization/clusters/4/,4,2026-03-01T05:02:30.741355Z,DO-LON1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/4/,20
,,,,2026-03-01T05:02:30.798565Z,,0,DO-NYC1,http://192.168.65.40:8000/virtualization/clusters/5/,5,2026-03-01T05:02:30.798582Z,DO-NYC1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/5/,20
,,,,2026-03-01T05:02:30.854565Z,,0,DO-NYC3,http://192.168.65.40:8000/virtualization/clusters/6/,6,2026-03-01T05:02:30.854582Z,DO-NYC3,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/6/,20
,,,,2026-03-01T05:02:30.914338Z,,0,DO-SFO3,http://192.168.65.40:8000/virtualization/clusters/7/,7,2026-03-01T05:02:30.914354Z,DO-SFO3,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/7/,20
,,,,2026-03-01T05:02:30.971108Z,,0,DO-SGP1,http://192.168.65.40:8000/virtualization/clusters/8/,8,2026-03-01T05:02:30.971126Z,DO-SGP1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/8/,20
,,,,2026-03-01T05:02:31.030890Z,,0,DO-TOR1,http://192.168.65.40:8000/virtualization/clusters/9/,9,2026-03-01T05:02:31.030907Z,DO-TOR1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/9/,20
,,,,2026-03-01T05:02:31.090802Z,,0,gc-asia-east1,http://192.168.65.40:8000/virtualization/clusters/10/,10,2026-03-01T05:02:31.090819Z,gc-asia-east1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/10/,0
,,,,2026-03-01T05:02:31.150337Z,,0,gc-asia-east2,http://192.168.65.40:8000/virtualization/clusters/11/,11,2026-03-01T05:02:31.150354Z,gc-asia-east2,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/11/,0
,,,,2026-03-01T05:02:31.209318Z,,0,gc-asia-northeast1,http://192.168.65.40:8000/virtualization/clusters/12/,12,2026-03-01T05:02:31.209335Z,gc-asia-northeast1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/12/,0
,,,,2026-03-01T05:02:31.266550Z,,0,gc-asia-northeast2,http://192.168.65.40:8000/virtualization/clusters/13/,13,2026-03-01T05:02:31.266567Z,gc-asia-northeast2,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/13/,0
,,,,2026-03-01T05:02:31.320094Z,,0,gc-asia-northeast3,http://192.168.65.40:8000/virtualization/clusters/14/,14,2026-03-01T05:02:31.320110Z,gc-asia-northeast3,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/14/,0
,,,,2026-03-01T05:02:31.396160Z,,0,gc-asia-south1,http://192.168.65.40:8000/virtualization/clusters/15/,15,2026-03-01T05:02:31.396178Z,gc-asia-south1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/15/,0
,,,,2026-03-01T05:02:31.457378Z,,0,gc-asia-southeast1,http://192.168.65.40:8000/virtualization/clusters/16/,16,2026-03-01T05:02:31.457395Z,gc-asia-southeast1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/16/,0
,,,,2026-03-01T05:02:31.513038Z,,0,gc-asia-southeast2,http://192.168.65.40:8000/virtualization/clusters/17/,17,2026-03-01T05:02:31.513056Z,gc-asia-southeast2,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/17/,0
,,,,2026-03-01T05:02:31.574331Z,,0,gc-europe-north1,http://192.168.65.40:8000/virtualization/clusters/18/,18,2026-03-01T05:02:31.574350Z,gc-europe-north1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/18/,0
,,,,2026-03-01T05:02:31.638930Z,,0,gc-europe-west1,http://192.168.65.40:8000/virtualization/clusters/19/,19,2026-03-01T05:02:31.638948Z,gc-europe-west1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/19/,0
,,,,2026-03-01T05:02:31.775857Z,,0,gc-europe-west2,http://192.168.65.40:8000/virtualization/clusters/20/,20,2026-03-01T05:02:31.775875Z,gc-europe-west2,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/20/,0
,,,,2026-03-01T05:02:31.850523Z,,0,gc-europe-west3,http://192.168.65.40:8000/virtualization/clusters/21/,21,2026-03-01T05:02:31.850542Z,gc-europe-west3,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/21/,0
,,,,2026-03-01T05:02:31.913924Z,,0,gc-europe-west4,http://192.168.65.40:8000/virtualization/clusters/22/,22,2026-03-01T05:02:31.913943Z,gc-europe-west4,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/22/,0
